episode_id,failure_mode,service,elapsed_s,timestamp,p50_latency_ms,p99_latency_ms,heap_mb,gc_pause_ms,error_rate,cache_miss_rate,db_p99_ms,cpu_pct,queue_lag,retry_rate,rps
ep_00000_NONE,NONE,auth-service,36,1700387014,89.5,83.3,501.6,14.09,0.0141,0.12,16.5,40.8,0,0.0239,208.28
ep_00000_NONE,NONE,auth-service,38,1700387016,102.9,74.4,500.2,2.0,0.0017,0.0538,21.5,36.2,8,0.0119,196.95
ep_00000_NONE,NONE,auth-service,40,1700387018,93.1,105.0,490.8,7.07,0.0231,0.0253,26.0,39.2,6,0.0224,232.09
ep_00000_NONE,NONE,auth-service,42,1700387020,77.2,82.5,480.0,4.01,0.0113,0.0203,20.9,38.8,1,0.0179,196.41
ep_00000_NONE,NONE,auth-service,44,1700387022,91.6,103.2,504.1,26.14,0.0064,0.12,16.4,38.7,14,0.0377,198.62
ep_00000_NONE,NONE,auth-service,46,1700387024,100.8,95.9,495.3,3.02,0.002,0.0817,14.7,37.4,13,0.05,187.9
ep_00000_NONE,NONE,auth-service,48,1700387026,85.7,84.3,498.9,10.55,0.007,0.0302,18.2,40.6,2,0.049,241.54
ep_00000_NONE,NONE,auth-service,50,1700387028,83.2,98.3,511.5,14.07,0.0047,0.01,28.0,30.2,2,0.0013,203.71
ep_00000_NONE,NONE,auth-service,52,1700387030,95.0,91.6,533.3,8.45,0.0083,0.01,19.1,31.1,3,0.0216,207.33
ep_00000_NONE,NONE,auth-service,54,1700387032,87.7,99.5,505.8,7.34,0.0014,0.0291,12.8,20.2,4,0.0297,188.81
ep_00000_NONE,NONE,auth-service,56,1700387034,93.7,79.4,506.1,21.19,0.0076,0.0182,15.0,30.6,12,0.0056,229.1
ep_00000_NONE,NONE,auth-service,58,1700387036,87.1,85.6,503.0,2.0,0.0018,0.0773,15.7,36.2,14,0.0294,204.07
ep_00000_NONE,NONE,auth-service,60,1700387038,81.9,102.1,525.3,9.73,0.0108,0.12,13.8,30.6,0,0.05,218.0
ep_00000_NONE,NONE,auth-service,62,1700387040,95.9,93.4,498.9,9.32,0.0097,0.0778,30.0,41.2,5,0.0136,176.87
ep_00000_NONE,NONE,auth-service,64,1700387042,87.6,84.3,526.3,10.9,0.0028,0.12,12.2,28.6,7,0.0187,164.5
ep_00000_NONE,NONE,auth-service,66,1700387044,85.0,88.6,522.8,29.08,0.0111,0.0795,15.8,28.6,11,0.018,229.02
ep_00000_NONE,NONE,auth-service,68,1700387046,86.5,95.3,517.4,11.91,0.0121,0.0162,43.2,33.0,10,0.0069,177.73
ep_00000_NONE,NONE,auth-service,70,1700387048,94.6,100.2,482.1,18.08,0.03,0.1179,17.9,44.2,8,0.0056,211.75
ep_00000_NONE,NONE,auth-service,72,1700387050,92.6,86.3,515.5,4.66,0.0065,0.0597,12.4,37.4,4,0.022,185.72
ep_00000_NONE,NONE,auth-service,74,1700387052,109.1,99.2,519.8,5.71,0.0135,0.0446,17.4,39.0,7,0.0026,206.28
ep_00000_NONE,NONE,auth-service,76,1700387054,88.0,104.5,467.0,2.0,0.0046,0.0165,14.7,34.7,11,0.038,195.57
ep_00000_NONE,NONE,auth-service,78,1700387056,95.2,94.9,526.0,14.34,0.009,0.0447,19.5,40.6,0,0.016,229.22
ep_00000_NONE,NONE,auth-service,80,1700387058,92.3,102.7,489.2,25.21,0.0111,0.075,25.6,26.9,10,0.001,162.8
ep_00000_NONE,NONE,auth-service,82,1700387060,94.1,91.3,494.1,8.2,0.0057,0.0419,24.3,37.2,9,0.0127,212.74
ep_00000_NONE,NONE,auth-service,84,1700387062,92.7,77.2,513.7,3.0,0.0022,0.1061,21.3,29.5,0,0.0029,198.41
ep_00000_NONE,NONE,auth-service,86,1700387064,104.4,103.9,512.2,32.27,0.0093,0.01,22.6,26.1,2,0.0007,220.52
ep_00000_NONE,NONE,auth-service,88,1700387066,90.3,86.5,490.3,15.78,0.0102,0.0763,18.9,32.1,5,0.0444,191.96
ep_00000_NONE,NONE,auth-service,90,1700387068,86.2,109.4,488.8,39.13,0.0012,0.12,32.1,29.4,7,0.0473,193.47
ep_00000_NONE,NONE,auth-service,92,1700387070,101.4,113.4,505.3,23.93,0.0086,0.0236,16.2,39.8,8,0.0303,205.57
ep_00000_NONE,NONE,auth-service,94,1700387072,90.1,98.4,520.5,10.78,0.0148,0.0966,13.4,33.0,14,0.0349,179.84
ep_00000_NONE,NONE,auth-service,96,1700387074,95.8,95.6,474.2,7.53,0.0083,0.01,14.1,29.5,6,0.0137,165.92
ep_00000_NONE,NONE,auth-service,98,1700387076,90.3,91.9,533.0,4.66,0.0044,0.0709,16.7,45.3,2,0.0488,178.48
ep_00000_NONE,NONE,auth-service,100,1700387078,84.0,99.0,523.1,3.88,0.0148,0.06,15.5,35.6,0,0.0113,208.28
ep_00000_NONE,NONE,auth-service,102,1700387080,88.1,95.8,512.1,23.63,0.0114,0.01,26.2,37.5,11,0.0172,206.72
ep_00000_NONE,NONE,auth-service,104,1700387082,66.6,98.8,439.0,14.54,0.0126,0.01,20.1,37.0,12,0.0354,199.29
ep_00000_NONE,NONE,auth-service,106,1700387084,97.4,95.3,506.3,6.31,0.0106,0.049,22.9,37.3,3,0.0169,207.49
ep_00000_NONE,NONE,auth-service,108,1700387086,95.1,81.0,518.6,4.58,0.0133,0.0189,19.4,36.8,2,0.0312,198.81
ep_00000_NONE,NONE,auth-service,110,1700387088,84.2,90.9,524.7,13.13,0.011,0.01,17.3,26.7,10,0.008,194.52
ep_00000_NONE,NONE,auth-service,112,1700387090,87.3,101.2,518.8,19.36,0.0131,0.0499,27.5,40.9,7,0.0177,199.97
ep_00000_NONE,NONE,auth-service,114,1700387092,95.4,85.5,531.5,2.0,0.0096,0.0635,13.8,34.0,5,0.0114,229.44
ep_00000_NONE,NONE,auth-service,116,1700387094,91.2,99.1,514.4,19.21,0.0077,0.044,23.0,42.2,3,0.0249,168.14
ep_00000_NONE,NONE,auth-service,118,1700387096,82.7,97.3,538.4,9.47,0.005,0.0708,17.8,28.0,2,0.0388,188.08
ep_00000_NONE,NONE,auth-service,120,1700387098,90.1,102.9,515.6,22.62,0.0215,0.0391,23.5,29.5,4,0.0293,216.8
ep_00000_NONE,NONE,auth-service,122,1700387100,88.1,96.0,513.6,2.0,0.0067,0.01,19.0,33.6,11,0.0347,158.05
ep_00000_NONE,NONE,auth-service,124,1700387102,82.8,92.4,498.3,2.0,0.0073,0.0422,10.0,25.0,9,0.0246,192.32
ep_00000_NONE,NONE,auth-service,126,1700387104,98.2,105.3,515.7,12.18,0.0052,0.12,14.1,33.2,3,0.027,182.78
ep_00000_NONE,NONE,auth-service,128,1700387106,109.7,113.0,503.8,2.27,0.0029,0.0423,21.0,36.8,1,0.0052,212.66
ep_00000_NONE,NONE,auth-service,130,1700387108,92.9,101.1,509.2,11.15,0.0158,0.0511,31.4,29.7,7,0.0039,197.95
ep_00000_NONE,NONE,auth-service,132,1700387110,84.8,88.3,497.8,2.0,0.0308,0.12,13.3,25.9,6,0.0015,225.81
ep_00000_NONE,NONE,auth-service,134,1700387112,93.3,102.8,494.0,16.64,0.0134,0.0501,20.6,36.6,9,0.0263,212.36
ep_00000_NONE,NONE,auth-service,136,1700387114,102.4,107.8,492.0,8.45,0.0054,0.0631,26.8,42.6,5,0.0414,215.49
ep_00000_NONE,NONE,auth-service,138,1700387116,98.0,96.0,527.9,25.52,0.0085,0.01,31.0,33.1,6,0.0036,232.4
ep_00000_NONE,NONE,auth-service,140,1700387118,92.9,92.8,535.9,26.85,0.0009,0.0152,25.7,35.8,10,0.05,216.91
ep_00000_NONE,NONE,auth-service,142,1700387120,77.4,88.4,488.9,29.54,0.0105,0.0706,14.9,41.2,2,0.05,216.09
ep_00000_NONE,NONE,auth-service,144,1700387122,84.6,99.0,523.3,4.79,0.0079,0.0159,12.6,36.1,8,0.0056,214.84
ep_00000_NONE,NONE,auth-service,146,1700387124,92.2,99.1,549.2,2.0,0.0135,0.0205,14.7,46.5,6,0.0026,197.82
ep_00000_NONE,NONE,auth-service,148,1700387126,88.0,100.6,486.2,3.79,0.0134,0.0739,17.9,39.6,2,0.003,177.46
ep_00000_NONE,NONE,auth-service,150,1700387128,100.6,107.5,531.2,25.74,0.0167,0.0959,21.9,42.4,14,0.0105,196.71
ep_00000_NONE,NONE,auth-service,152,1700387130,76.0,95.9,537.0,4.4,0.0112,0.01,35.1,38.0,5,0.05,193.52
ep_00000_NONE,NONE,auth-service,154,1700387132,95.6,97.6,525.0,10.41,0.0104,0.0188,39.2,40.0,7,0.0082,195.81
ep_00000_NONE,NONE,auth-service,156,1700387134,93.1,109.0,515.6,40.0,0.0142,0.12,12.3,36.2,0,0.0186,222.42
ep_00000_NONE,NONE,auth-service,158,1700387136,84.7,98.6,484.2,3.16,0.0064,0.12,23.4,34.5,7,0.05,245.99
ep_00000_NONE,NONE,auth-service,160,1700387138,90.7,112.9,519.1,10.18,0.0044,0.0355,13.1,26.2,5,0.0048,196.18
ep_00000_NONE,NONE,auth-service,162,1700387140,86.9,112.1,521.0,7.95,0.0086,0.0265,21.2,31.9,1,0.0065,192.93
ep_00000_NONE,NONE,auth-service,164,1700387142,81.2,98.2,489.0,17.86,0.003,0.01,10.7,34.8,2,0.0006,217.91
ep_00000_NONE,NONE,auth-service,166,1700387144,74.0,78.2,516.2,8.8,0.0228,0.12,17.7,40.4,4,0.0033,212.35
ep_00000_NONE,NONE,auth-service,168,1700387146,94.4,98.1,531.6,40.0,0.0272,0.0593,19.5,41.8,9,0.0071,207.91
ep_00000_NONE,NONE,auth-service,170,1700387148,87.1,81.2,499.4,2.0,0.0145,0.0257,15.1,31.8,14,0.028,168.26
ep_00000_NONE,NONE,auth-service,172,1700387150,90.2,92.8,518.8,16.57,0.002,0.0354,23.7,31.5,2,0.0319,180.3
ep_00000_NONE,NONE,auth-service,174,1700387152,86.4,81.1,483.8,10.85,0.0043,0.0532,29.4,27.9,5,0.0067,203.91
ep_00000_NONE,NONE,auth-service,176,1700387154,88.3,91.2,517.8,13.63,0.0085,0.0235,16.0,37.9,11,0.0077,222.64
ep_00000_NONE,NONE,auth-service,178,1700387156,98.6,82.8,495.4,29.4,0.0077,0.044,12.9,37.5,9,0.0411,170.16
ep_00000_NONE,NONE,auth-service,180,1700387158,90.4,93.8,535.4,18.84,0.0042,0.0776,22.6,26.2,0,0.0223,197.95
ep_00000_NONE,NONE,auth-service,182,1700387160,104.4,106.9,498.1,2.0,0.0088,0.0411,18.8,26.9,10,0.0032,194.39
ep_00000_NONE,NONE,auth-service,184,1700387162,78.0,84.7,501.2,6.35,0.0051,0.0619,12.5,28.1,3,0.0258,190.68
ep_00000_NONE,NONE,auth-service,186,1700387164,81.0,90.1,514.8,23.26,0.0103,0.01,10.1,38.2,11,0.0073,188.33
ep_00000_NONE,NONE,auth-service,188,1700387166,85.8,101.1,485.2,2.0,0.0019,0.01,20.5,35.2,6,0.0278,189.67
ep_00000_NONE,NONE,auth-service,190,1700387168,97.3,81.3,508.2,15.26,0.0082,0.013,16.9,36.6,13,0.0214,187.62
ep_00000_NONE,NONE,auth-service,192,1700387170,84.7,89.3,534.0,7.31,0.0265,0.0377,14.6,29.7,0,0.0074,256.19
ep_00000_NONE,NONE,auth-service,194,1700387172,103.6,106.2,517.9,8.58,0.0088,0.0482,24.7,41.1,6,0.0276,220.31
ep_00000_NONE,NONE,auth-service,196,1700387174,76.7,94.9,517.5,40.0,0.0012,0.0714,22.9,33.5,4,0.05,199.99
ep_00000_NONE,NONE,auth-service,198,1700387176,90.3,104.6,472.9,7.0,0.0101,0.0922,25.3,41.1,6,0.0251,217.21
ep_00000_NONE,NONE,auth-service,200,1700387178,102.5,86.2,507.5,31.19,0.0085,0.0299,31.3,30.5,6,0.0062,173.79
ep_00000_NONE,NONE,auth-service,202,1700387180,86.9,101.6,499.2,7.9,0.0064,0.01,13.2,38.3,4,0.0184,205.8
ep_00000_NONE,NONE,auth-service,204,1700387182,91.3,92.9,525.6,25.23,0.0104,0.0308,25.0,44.0,11,0.0217,190.86
ep_00000_NONE,NONE,auth-service,206,1700387184,90.8,74.9,517.3,5.12,0.0093,0.1149,18.5,32.1,5,0.014,178.49
ep_00000_NONE,NONE,auth-service,208,1700387186,85.6,105.7,524.1,2.0,0.013,0.0278,23.4,37.8,1,0.0062,220.51
ep_00000_NONE,NONE,auth-service,210,1700387188,98.2,75.8,534.6,13.11,0.003,0.0272,15.5,41.5,12,0.0054,176.76
ep_00000_NONE,NONE,auth-service,212,1700387190,84.6,87.0,486.5,2.0,0.0065,0.0108,21.6,26.1,0,0.0132,175.95
ep_00000_NONE,NONE,auth-service,214,1700387192,87.7,89.1,515.3,3.63,0.0071,0.0152,25.5,33.8,12,0.0041,173.19
ep_00000_NONE,NONE,auth-service,216,1700387194,96.2,76.1,516.3,9.26,0.0124,0.0227,21.3,31.2,12,0.0016,204.63
ep_00000_NONE,NONE,auth-service,218,1700387196,92.4,94.1,501.4,6.58,0.0047,0.0887,28.7,38.1,6,0.0179,199.8
ep_00000_NONE,NONE,auth-service,220,1700387198,102.7,96.6,511.4,4.16,0.0127,0.0435,12.9,37.8,6,0.0098,190.13
ep_00000_NONE,NONE,auth-service,222,1700387200,95.3,91.0,514.3,7.02,0.0061,0.01,16.0,28.1,12,0.035,202.05
ep_00000_NONE,NONE,auth-service,224,1700387202,81.0,102.7,487.5,2.0,0.0422,0.0498,14.5,27.8,7,0.0032,196.54
ep_00000_NONE,NONE,auth-service,226,1700387204,88.4,91.6,483.9,4.57,0.0071,0.0272,15.3,37.0,5,0.0003,220.45
ep_00000_NONE,NONE,auth-service,228,1700387206,96.2,94.0,502.6,5.32,0.0112,0.0672,26.1,31.0,7,0.0034,194.41
ep_00000_NONE,NONE,auth-service,230,1700387208,85.9,109.0,491.1,4.55,0.0095,0.01,20.5,35.5,1,0.0058,200.88
ep_00000_NONE,NONE,auth-service,232,1700387210,83.5,95.7,511.4,3.16,0.0307,0.01,22.1,31.0,2,0.0026,225.18
ep_00000_NONE,NONE,auth-service,234,1700387212,93.2,87.8,498.1,16.18,0.0157,0.0819,21.5,38.0,2,0.0199,185.12
ep_00000_NONE,NONE,auth-service,236,1700387214,85.8,85.6,538.0,2.0,0.0106,0.0407,14.5,33.5,4,0.0209,210.15
ep_00000_NONE,NONE,auth-service,238,1700387216,94.8,91.3,554.4,13.64,0.0014,0.01,15.2,30.0,2,0.0088,196.39
ep_00001_NONE,NONE,payment-service,0,1700313476,88.3,86.9,501.2,35.88,0.0083,0.12,17.6,39.0,8,0.0035,200.28
ep_00001_NONE,NONE,payment-service,2,1700313478,78.1,95.9,496.6,4.84,0.0041,0.01,23.2,29.6,14,0.0046,179.12
ep_00001_NONE,NONE,payment-service,4,1700313480,89.7,94.1,493.9,7.68,0.0209,0.0192,16.1,34.7,14,0.0458,152.37
ep_00001_NONE,NONE,payment-service,6,1700313482,98.3,83.2,518.6,4.97,0.0206,0.0644,25.5,38.0,10,0.05,208.33
ep_00001_NONE,NONE,payment-service,8,1700313484,81.3,101.3,530.2,9.21,0.0001,0.0484,28.0,36.4,11,0.0339,219.42
ep_00001_NONE,NONE,payment-service,10,1700313486,99.6,90.7,535.3,2.0,0.0387,0.0144,17.6,36.8,6,0.0091,225.82
ep_00001_NONE,NONE,payment-service,12,1700313488,92.1,103.3,517.6,2.38,0.0085,0.0387,22.8,41.3,10,0.0085,155.61
ep_00001_NONE,NONE,payment-service,14,1700313490,101.8,96.7,532.0,40.0,0.0018,0.0597,27.5,39.2,4,0.0395,196.23
ep_00001_NONE,NONE,payment-service,16,1700313492,96.5,85.3,508.5,3.25,0.0211,0.0834,10.4,35.8,11,0.0106,180.04
ep_00001_NONE,NONE,payment-service,18,1700313494,101.8,106.2,504.2,2.0,0.0147,0.0111,23.4,31.5,4,0.022,215.81
ep_00001_NONE,NONE,payment-service,20,1700313496,77.7,89.8,525.7,40.0,0.0016,0.0614,14.2,32.8,7,0.0237,219.6
ep_00001_NONE,NONE,payment-service,22,1700313498,92.2,88.0,494.7,6.46,0.0123,0.01,13.0,40.5,6,0.0256,212.32
ep_00001_NONE,NONE,payment-service,24,1700313500,71.4,76.4,506.4,13.73,0.0054,0.1014,12.7,40.1,0,0.0091,180.34
ep_00001_NONE,NONE,payment-service,26,1700313502,90.6,100.7,492.6,2.6,0.0152,0.111,17.8,37.7,12,0.0161,219.92
ep_00001_NONE,NONE,payment-service,28,1700313504,85.2,76.6,473.7,2.11,0.0026,0.0276,24.5,35.1,4,0.0026,181.85
ep_00001_NONE,NONE,payment-service,30,1700313506,90.3,74.7,516.2,25.06,0.0071,0.0493,20.7,39.2,13,0.0222,185.96
ep_00001_NONE,NONE,payment-service,32,1700313508,96.1,87.4,533.8,7.37,0.0079,0.01,23.2,41.1,9,0.0161,193.86
ep_00001_NONE,NONE,payment-service,34,1700313510,96.4,96.2,500.3,26.78,0.024,0.0234,35.4,38.4,10,0.0005,189.16
ep_00001_NONE,NONE,payment-service,36,1700313512,99.2,100.4,516.9,30.26,0.0078,0.0238,23.2,37.0,12,0.0026,193.76
ep_00001_NONE,NONE,payment-service,38,1700313514,106.2,77.7,522.0,10.64,0.0089,0.0379,30.9,42.5,10,0.0076,233.65
ep_00001_NONE,NONE,payment-service,40,1700313516,99.1,85.6,516.0,11.66,0.0011,0.0275,22.5,30.9,3,0.0016,219.36
ep_00001_NONE,NONE,payment-service,42,1700313518,98.0,95.8,540.2,9.41,0.0112,0.12,29.1,36.4,6,0.0164,228.23
ep_00001_NONE,NONE,payment-service,44,1700313520,89.3,97.0,535.6,12.92,0.0033,0.0321,17.9,25.7,4,0.0194,233.15
ep_00001_NONE,NONE,payment-service,46,1700313522,84.5,88.2,542.7,3.19,0.0048,0.0312,14.9,34.7,8,0.0259,213.75
ep_00001_NONE,NONE,payment-service,48,1700313524,99.7,91.7,507.7,28.55,0.0052,0.0384,32.9,32.4,8,0.0134,203.25
ep_00001_NONE,NONE,payment-service,50,1700313526,85.3,97.7,493.0,9.44,0.0122,0.0608,17.8,33.6,9,0.0,228.72
ep_00001_NONE,NONE,payment-service,52,1700313528,86.3,99.9,507.2,19.56,0.0259,0.01,16.3,27.6,11,0.0086,161.8
ep_00001_NONE,NONE,payment-service,54,1700313530,79.8,84.7,510.7,36.61,0.0201,0.0477,14.4,39.2,2,0.0224,208.01
ep_00001_NONE,NONE,payment-service,56,1700313532,67.1,98.0,509.7,22.65,0.0149,0.0251,27.4,29.6,1,0.0105,188.29
ep_00001_NONE,NONE,payment-service,58,1700313534,104.7,82.4,488.6,14.91,0.0088,0.01,11.8,40.1,9,0.0138,196.66
ep_00001_NONE,NONE,payment-service,60,1700313536,96.0,98.9,504.1,17.88,0.0099,0.01,16.3,26.9,13,0.0108,163.57
ep_00001_NONE,NONE,payment-service,62,1700313538,104.0,103.3,527.4,3.83,0.0128,0.0219,23.1,29.9,11,0.0021,221.32
ep_00001_NONE,NONE,payment-service,64,1700313540,93.1,95.9,512.2,19.18,0.0047,0.1183,24.6,37.8,10,0.0017,219.4
ep_00001_NONE,NONE,payment-service,66,1700313542,90.9,112.3,473.7,2.0,0.0023,0.0435,13.0,38.9,7,0.0016,205.98
ep_00001_NONE,NONE,payment-service,68,1700313544,95.4,84.7,512.2,6.49,0.0297,0.01,14.9,37.5,1,0.0322,201.51
ep_00001_NONE,NONE,payment-service,70,1700313546,88.7,106.0,523.6,36.05,0.005,0.0547,30.9,41.8,5,0.0022,198.78
ep_00001_NONE,NONE,payment-service,72,1700313548,91.0,91.6,494.2,37.67,0.0106,0.0408,20.5,37.9,11,0.0107,202.34
ep_00001_NONE,NONE,payment-service,74,1700313550,83.3,99.0,518.1,4.32,0.0142,0.048,18.2,30.9,7,0.0101,187.24
ep_00001_NONE,NONE,payment-service,76,1700313552,84.7,88.4,487.8,21.11,0.0084,0.0215,17.8,35.2,3,0.0116,190.3
ep_00001_NONE,NONE,payment-service,78,1700313554,105.1,95.0,467.3,10.28,0.0245,0.01,13.7,31.8,13,0.0204,205.54
ep_00001_NONE,NONE,payment-service,80,1700313556,79.2,91.9,497.1,12.04,0.0194,0.043,16.0,43.2,4,0.0093,204.54
ep_00001_NONE,NONE,payment-service,82,1700313558,99.4,83.3,527.1,3.65,0.0075,0.0446,36.1,28.7,1,0.0287,200.57
ep_00001_NONE,NONE,payment-service,84,1700313560,77.2,109.1,498.4,9.03,0.0082,0.0659,15.9,34.4,10,0.0064,196.09
ep_00001_NONE,NONE,payment-service,86,1700313562,92.1,81.8,503.1,2.0,0.021,0.0151,17.4,31.2,13,0.0071,193.32
ep_00001_NONE,NONE,payment-service,88,1700313564,100.0,101.9,551.3,40.0,0.0078,0.0186,18.1,32.9,12,0.0082,221.14
ep_00001_NONE,NONE,payment-service,90,1700313566,102.0,99.0,496.8,10.88,0.0093,0.0238,13.9,36.8,11,0.0072,198.08
ep_00001_NONE,NONE,payment-service,92,1700313568,83.3,94.3,537.2,6.48,0.0038,0.01,30.8,40.0,10,0.0182,177.23
ep_00001_NONE,NONE,payment-service,94,1700313570,86.5,90.3,498.6,2.0,0.0155,0.0562,22.9,45.4,2,0.0009,168.58
ep_00001_NONE,NONE,payment-service,96,1700313572,96.2,107.7,494.9,2.0,0.0013,0.0133,17.4,38.7,11,0.0138,224.76
ep_00001_NONE,NONE,payment-service,98,1700313574,104.6,83.7,538.6,38.18,0.0032,0.01,20.9,28.5,14,0.0054,232.32
ep_00001_NONE,NONE,payment-service,100,1700313576,96.2,97.9,527.0,3.27,0.0081,0.0538,21.6,37.8,8,0.05,213.37
ep_00001_NONE,NONE,payment-service,102,1700313578,84.6,95.5,499.5,2.79,0.0028,0.0643,15.8,33.9,11,0.0106,216.71
ep_00001_NONE,NONE,payment-service,104,1700313580,89.1,112.8,516.8,2.0,0.008,0.0571,19.8,37.7,3,0.0216,182.48
ep_00001_NONE,NONE,payment-service,106,1700313582,98.5,101.9,531.5,2.68,0.0135,0.0391,12.8,31.4,4,0.0182,180.38
ep_00001_NONE,NONE,payment-service,108,1700313584,84.2,91.4,484.8,2.22,0.0045,0.12,27.3,32.9,8,0.0186,208.58
ep_00001_NONE,NONE,payment-service,110,1700313586,87.3,99.8,518.4,2.06,0.0053,0.01,13.5,41.0,12,0.0294,201.71
ep_00001_NONE,NONE,payment-service,112,1700313588,76.7,76.6,517.1,40.0,0.0036,0.01,26.1,32.6,7,0.032,176.97
ep_00001_NONE,NONE,payment-service,114,1700313590,92.1,99.9,518.7,40.0,0.0023,0.024,18.0,36.7,8,0.0052,193.25
ep_00001_NONE,NONE,payment-service,116,1700313592,90.9,84.1,518.6,8.25,0.0068,0.0273,18.2,34.1,13,0.0024,157.8
ep_00001_NONE,NONE,payment-service,118,1700313594,83.9,91.0,546.9,9.47,0.0055,0.0369,14.8,33.9,0,0.0105,188.34
ep_00001_NONE,NONE,payment-service,120,1700313596,95.0,99.4,510.8,20.24,0.0081,0.01,23.2,38.5,8,0.0265,196.52
ep_00001_NONE,NONE,payment-service,122,1700313598,88.7,88.3,534.7,2.0,0.0017,0.0134,20.5,31.6,10,0.05,162.29
ep_00001_NONE,NONE,payment-service,124,1700313600,86.8,95.6,506.4,2.38,0.0134,0.01,12.9,33.8,1,0.0004,201.3
ep_00001_NONE,NONE,payment-service,126,1700313602,93.4,103.3,495.9,14.44,0.0002,0.039,10.2,36.1,6,0.003,200.6
ep_00001_NONE,NONE,payment-service,128,1700313604,87.7,98.0,514.5,8.31,0.0019,0.01,15.0,33.6,0,0.0215,198.53
ep_00001_NONE,NONE,payment-service,130,1700313606,77.6,89.9,490.5,29.99,0.004,0.0475,17.3,37.0,0,0.0238,169.69
ep_00001_NONE,NONE,payment-service,132,1700313608,80.0,102.1,545.4,4.28,0.0094,0.07,20.8,39.7,13,0.023,221.29
ep_00001_NONE,NONE,payment-service,134,1700313610,82.2,123.1,519.5,14.07,0.0115,0.099,13.7,37.6,6,0.0264,238.5
ep_00001_NONE,NONE,payment-service,136,1700313612,105.9,95.5,513.3,6.89,0.0181,0.01,24.8,44.7,4,0.0102,181.14
ep_00001_NONE,NONE,payment-service,138,1700313614,78.7,81.8,484.4,5.53,0.0337,0.0506,27.9,37.8,11,0.0068,195.54
ep_00001_NONE,NONE,payment-service,140,1700313616,99.1,95.2,502.0,2.6,0.0153,0.01,18.7,28.9,13,0.0228,199.16
ep_00001_NONE,NONE,payment-service,142,1700313618,98.0,105.8,507.4,4.21,0.0066,0.01,23.0,37.7,6,0.0283,187.49
ep_00001_NONE,NONE,payment-service,144,1700313620,98.6,98.6,505.9,10.5,0.0076,0.01,15.2,42.8,5,0.0074,231.22
ep_00001_NONE,NONE,payment-service,146,1700313622,93.8,81.6,530.8,2.55,0.015,0.0971,16.5,43.0,9,0.0065,176.31
ep_00001_NONE,NONE,payment-service,148,1700313624,98.3,78.0,530.5,8.67,0.0068,0.01,19.1,41.9,6,0.0141,217.02
